DogId,Dog Name,Breed,Size,Age,Color,Gender,Children,ShelterId,Shelter Name,Address,City,State,Zip,Phone
1,Agnes,Labrador Retriever Mix,15lbs,,,Female,,1,All Breed Rescue,491 Industrial Avenue,Williston,VT,5495,(802) 489-5889
2,Akay,American Staffordshire Terrier,45lbs,4yrs,,Female,Yes,1,All Breed Rescue,492 Industrial Avenue,Williston,VT,5495,(802) 489-5890
3,Annie,Labrador Retriever Mix,,4mo,Brindle with white,Female,Yes,1,All Breed Rescue,493 Industrial Avenue,Williston,VT,5495,(802) 489-5891
4,Bailey,Labrador Retrieve/Husky  Mix,,7yrs,Black with brown,Female,,1,All Breed Rescue,494 Industrial Avenue,Williston,VT,5495,(802) 489-5892
5,Brindle,Boxer Mix,,3mo,Tricolor,Male,,1,All Breed Rescue,495 Industrial Avenue,Williston,VT,5495,(802) 489-5893
6,Bruiser,American Staffordshire Terrier,,,,Male,,1,All Breed Rescue,496 Industrial Avenue,Williston,VT,5495,(802) 489-5894
7,Buddy,Terrier Mix,64lbs,3yrs,Tan,Male,,1,All Breed Rescue,497 Industrial Avenue,Williston,VT,5495,(802) 489-5895
8,Celine,,,,,,,1,All Breed Rescue,498 Industrial Avenue,Williston,VT,5495,(802) 489-5896
9,Charlie,,,,,,,1,All Breed Rescue,499 Industrial Avenue,Williston,VT,5495,(802) 489-5897
10,Coco,,,,,,,1,All Breed Rescue,500 Industrial Avenue,Williston,VT,5495,(802) 489-5898
11,Cocoa,,,,,,,1,All Breed Rescue,501 Industrial Avenue,Williston,VT,5495,(802) 489-5899
12,Dallas,,,,,,,1,All Breed Rescue,502 Industrial Avenue,Williston,VT,5495,(802) 489-5900
13,Damien,,,,,,,1,All Breed Rescue,503 Industrial Avenue,Williston,VT,5495,(802) 489-5901
14,Damon,,,,,,,1,All Breed Rescue,504 Industrial Avenue,Williston,VT,5495,(802) 489-5902
15,Dolly,,,,,,,1,All Breed Rescue,505 Industrial Avenue,Williston,VT,5495,(802) 489-5903
16,Dot,,,,,,,1,All Breed Rescue,506 Industrial Avenue,Williston,VT,5495,(802) 489-5904
17,Eddie,,,,,,,1,All Breed Rescue,507 Industrial Avenue,Williston,VT,5495,(802) 489-5905
18,Emma,,,,,,,1,All Breed Rescue,508 Industrial Avenue,Williston,VT,5495,(802) 489-5906
19,,,,,,,,1,All Breed Rescue,509 Industrial Avenue,Williston,VT,5495,(802) 489-5907
20,,,,,,,,1,All Breed Rescue,510 Industrial Avenue,Williston,VT,5495,(802) 489-5908
